verbo_lema,frecuencia
representar,58
constar,32
figurar,28
actuar,19
recibir,16
intervenir,14
escribir,13
recoger,12
aparecer,11
vea él,11
participar,11
salir,11
indicar,10
referir,9
pagar,9
corresponder,8
llevar,7
acudir,7
vivir,7
suponer,7
incluir,6
ver,6
conservar,6
entregar,6
dejar,6
señalar,5
enviar,5
creer,5
reír,5
pedir,5
poner,5
morir,5
apuntar,5
observar,5
formar,5
deducir,4
gozar,4
aludir,4
afirmar,4
notificar,4
pasar,4
llamar,4
cumplir,4
ordenar,4
llegar,4
encontrar,4
acusar,4
identificar,4
cantar,4
nacer,4
concertar,4
volver,4
pertenecer,4
relatar,4
dar,4
acabar,4
solicitar,4
deber,3
declarar,3
repetir,3
documentar,3
describir,3
firmar,3
mencionar,3
ocupar,3
imitar,3
asistir,3
celebrar,3
festejar,3
comprometer,3
proponer,3
inferir,3
trabajar,3
obtener,3
mandar,3
saber,3
servir,3
establecer,3
presentar,3
bautizar,2
destacar,2
anunciar,2
soler,2
hablar,2
enterrar,2
vender,2
publicar,2
estrenar,2
mirar,2
contar,2
aludir él,2
manejar,2
nefar,2
conceder,2
sacar,2
producir,2
contener,2
vengar,2
citar,2
sepultar,2
interpretar,2
consultar,2
sugerir,2
querer,2
cobrar,2
tomar,2
hallar,2
dar él,2
terminar,2
permitir,2
continuar,2
hacer él,2
perder,2
volver él,2
sentar,2
empezar,2
recordar,2
testimoniar,2
véar,2
compartir,2
haer,2
costar,2
conocer,2
vestir,2
aventurar,2
anotar,2
recibir él,2
acompañar,2
embargar,2
aplazar,1
venir,1
aconsejar,1
fundar él,1
provocar,1
evocar,1
bajar,1
dirigir él,1
haciendo él,1
regresar,1
considerar,1
ceder,1
disfrutar,1
fundar,1
lanzar,1
caracterizar,1
desligar,1
zelebrar,1
exceder,1
responder,1
abarcar,1
corregir,1
insistir,1
analizar,1
omitiesir,1
relacionar él,1
estubir,1
pintar,1
faltar,1
relacionar,1
sobrar,1
perpetuar,1
untar,1
caer,1
juntar,1
bromear,1
componer,1
disputar,1
aprender,1
tratar,1
persigáis,1
incorporar,1
omitir,1
hallar él,1
obligar,1
ganar,1
elegir,1
deber él,1
haber él,1
efectuar,1
liberar,1
requerir,1
traer,1
notar,1
explicitar,1
detener,1
seguir,1
atribuir,1
traducir,1
mostrar,1
ver él,1
mostrar él,1
mantener,1
tramar,1
quitar,1
leer,1
bailar,1
encargar,1
contratar,1
prestar,1
decidir,1
marchar él,1
permanecer,1
descontar él,1
huvierar,1
prorrogar,1
eliminar,1
consentir,1
actualizar,1
ofrecer,1
añadir,1
impedir,1
bastar,1
proceder,1
extender,1
repasar,1
dejastar,1
paliar,1
aumentar,1
contraer,1
divertir,1
presenciar,1
desplazar,1
llevar él,1
pagar él,1
refundir,1
andar,1
estubo,1
referir él,1
acordar,1
ingresar,1
visitar,1
reunir,1
sobrevenir,1
guardar,1
reflejar,1
obrar,1
preparar,1
comprometer él,1
informar,1
informar él,1
estair,1
huvir,1
entretener,1
inquietar,1
atreveír,1
necesitar,1
descuidar,1
saber él,1
denominar,1
datar,1
alabar,1
arrimar,1
represento él,1
emplear,1
fallecer,1
quar,1
exemplar,1
encubrir,1
ocasionar,1
encontrar él,1
deducir él,1
güelir,1
nombrar él,1
entrar,1
tirar,1
guiar,1
subir él,1
estimar,1
remedar,1
manifestar,1
rondar,1
destar,1
otorgar,1
rematar,1
invalidar,1
especificar,1
situar,1
confirmar,1
aplicar,1
